Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
127,2018-07-02,2018-10-01,1.3184,1.281,1.320798584423676,800000.0,1918.867538940816,-29920.00000000008,-0.0374000000000001
128,2018-08-01,2018-11-01,1.3003,1.3086,1.3021786249844314,800000.0,1502.8999875450922,6639.999999999979,0.008299999999999974
129,2018-09-03,2018-12-03,1.309,1.3195,1.3108581710414902,800000.0,1486.536833192176,8399.999999999964,0.010499999999999954
130,2018-10-01,2019-01-01,1.281,1.3637,1.2832971283405146,800000.0,1837.702672411723,66160.0,0.0827
131,2018-11-01,2019-02-01,1.3086,1.3098,1.310521872899709,800000.0,1537.4983197672166,960.0000000000719,0.0012000000000000899
132,2018-12-03,2019-03-01,1.3195,1.3295,1.321667853231106,800000.0,1734.2825848848165,8000.000000000007,0.010000000000000009
133,2019-01-01,2019-04-01,1.3637,1.3306,1.36634815893644,800000.0,2118.5271491519943,-26479.999999999927,-0.03309999999999991
134,2019-02-01,2019-05-01,1.3098,1.3441,1.312213115570383,800000.0,1930.492456306254,27439.999999999996,0.0343
135,2019-03-01,2019-06-03,1.3295,1.3433,1.3320486468991957,800000.0,2038.9175193566089,11040.000000000027,0.013800000000000034
136,2019-04-01,2019-07-01,1.3306,1.3134,1.333150819100732,800000.0,2040.655280585568,-13760.000000000084,-0.017200000000000104
137,2019-05-01,2019-08-01,1.3441,1.3211,1.346609646982673,800000.0,2007.7175861382912,-18400.000000000106,-0.02300000000000013
138,2019-06-03,2019-09-02,1.3433,1.3325,1.345507119918345,800000.0,1765.6959346760814,-8639.999999999936,-0.01079999999999992
139,2019-07-01,2019-10-01,1.3134,1.3218,1.315198461385251,800000.0,1438.7691082008657,6720.000000000148,0.008400000000000185
140,2019-08-01,2019-11-01,1.3211,1.3134,1.3224814564919705,800000.0,1105.1651935764185,-6160.000000000032,-0.00770000000000004
141,2019-09-02,2019-12-02,1.3325,1.3308,1.3337275907574322,800000.0,982.0726059457386,-1360.0000000000277,-0.0017000000000000348
142,2019-10-01,2020-01-01,1.3218,1.2986,1.322392381236929,800000.0,473.9049895430725,-18560.000000000087,-0.02320000000000011
143,2019-11-01,2020-02-03,1.3134,1.3284,1.3129422098292085,800000.0,-366.2321366331156,12000.0000000001,0.015000000000000124
144,2019-12-02,2020-03-02,1.3308,1.3322,1.330601204999253,800000.0,-159.03600059754552,1120.0000000000543,0.0014000000000000679
145,2020-01-01,2020-04-01,1.2986,1.4188,1.2982443609022556,800000.0,-284.5112781955095,96160.00000000007,0.12020000000000008
146,2020-02-03,2020-05-01,1.3284,1.4084,1.328168479235136,800000.0,-185.21661189119243,64000.00000000006,0.08000000000000007
147,2020-03-02,2020-06-01,1.3322,1.3571,1.3306077687308584,800000.0,-1273.7850153133222,19919.999999999938,0.024899999999999922
148,2020-04-01,2020-07-01,1.4188,1.3585,1.4184100249875062,800000.0,-311.9800099950609,-48240.000000000015,-0.06030000000000002
149,2020-05-01,2020-08-03,1.4084,1.3389,1.407907380202868,800000.0,-394.0958377055992,-55600.000000000095,-0.06950000000000012
150,2020-06-01,2020-09-01,1.3571,1.3062,1.3568287291989405,800000.0,-217.01664084758931,-40719.999999999956,-0.050899999999999945
151,2020-07-01,2020-10-01,1.3585,1.3287,1.3582963268365815,800000.0,-162.938530734813,-23840.00000000004,-0.02980000000000005
152,2020-08-03,2020-11-02,1.3389,1.3215,1.3386992453018791,800000.0,-160.60375849669128,-13920.000000000065,-0.017400000000000082
153,2020-09-01,2020-12-01,1.3062,1.2932,1.306134712850502,800000.0,-52.22971959835121,-10400.000000000098,-0.013000000000000123
154,2020-10-01,2021-01-01,1.3287,1.2727,1.3286003773867838,800000.0,-79.69809057293276,-44800.00000000004,-0.05600000000000005
155,2020-11-02,2021-02-01,1.3215,1.2849,1.3215,800000.0,0.0,-29279.99999999997,-0.036599999999999966
156,2020-12-01,2021-03-01,1.2932,1.2645,1.2931030390882734,800000.0,-77.56872938120551,-22959.99999999996,-0.028699999999999948
157,2021-01-01,2021-04-01,1.2727,1.2545,1.272763623865823,800000.0,50.89909265851844,-14559.999999999995,-0.018199999999999994
158,2021-02-01,2021-05-03,1.2849,1.2276,1.2849321176823476,800000.0,25.694145878141228,-45839.99999999993,-0.05729999999999991
159,2021-03-01,2021-06-01,1.2645,1.207,1.2643103771462847,800000.0,-151.69828297221244,-45999.999999999905,-0.057499999999999885
160,2021-04-01,2021-07-01,1.2545,1.2436,1.254280511884826,800000.0,-175.5904921392215,-8719.999999999927,-0.01089999999999991
161,2021-05-03,2021-08-02,1.2276,1.2509,1.2274159060234942,800000.0,-147.27518120469796,18639.9999999999,0.023299999999999876
162,2021-06-01,2021-09-01,1.207,1.2616,1.2067586603349163,800000.0,-193.07173206701833,43679.999999999985,0.05459999999999998
163,2021-07-01,2021-10-01,1.2436,1.2647,1.243289216543796,800000.0,-248.62676496315572,16879.999999999916,0.021099999999999897
164,2021-08-02,2021-11-01,1.2509,1.2367,1.2505248894219956,800000.0,-300.0884624034583,-11359.999999999993,-0.01419999999999999
165,2021-09-01,2021-12-01,1.2616,1.2817,1.2613792862141358,800000.0,-176.57102869144126,16080.000000000005,0.020100000000000007
166,2021-10-01,2022-01-03,1.2647,1.2741,1.2644471358592422,800000.0,-202.29131260620647,7520.00000000006,0.009400000000000075
167,2021-11-01,2022-02-01,1.2367,1.2686,1.2364527403593832,800000.0,-197.8077124933364,25520.000000000033,0.03190000000000004
168,2021-12-01,2022-03-01,1.2817,1.274,1.2817640785921411,800000.0,51.26287371286509,-6160.000000000032,-0.00770000000000004
169,2022-01-03,2022-04-01,1.2741,1.2518,1.273845281887245,800000.0,-203.77449020401173,-17839.99999999999,-0.022299999999999986
170,2022-02-01,2022-05-02,1.2686,1.2878,1.2681880345723422,800000.0,-329.57234212620534,15360.000000000085,0.019200000000000106
171,2022-03-01,2022-06-01,1.274,1.2656,1.2738408971701176,800000.0,-127.28226390592567,-6719.999999999971,-0.008399999999999963
172,2022-04-01,2022-07-01,1.2518,1.2883,1.251643751560238,800000.0,-124.99875180953524,29199.99999999998,0.03649999999999998
173,2022-05-02,2022-08-01,1.2878,1.2845,1.2864522575500847,800000.0,-1078.19395993225,-2640.0000000000646,-0.0033000000000000806
174,2022-06-01,2022-09-01,1.2656,1.3152,1.2644967372353677,800000.0,-882.6102117058809,39679.99999999989,0.049599999999999866
175,2022-07-01,2022-10-03,1.2883,1.3622,1.2871465567410278,800000.0,-922.7546071777226,59120.00000000006,0.07390000000000008
176,2022-08-01,2022-11-01,1.2845,1.3629,1.2842128896063576,800000.0,-229.68831491390063,62720.00000000002,0.07840000000000003
177,2022-09-01,2022-12-01,1.3152,1.3432,1.3143845642577254,800000.0,-652.3485938195961,22400.00000000002,0.028000000000000025
178,2022-10-03,2023-01-02,1.3622,1.3572,1.361896201214224,800000.0,-243.0390286209061,-4000.0000000000923,-0.0050000000000001155
179,2022-11-01,2023-02-01,1.3629,1.3287,1.3641486331897192,800000.0,998.9065517753914,-27360.000000000007,-0.03420000000000001
180,2022-12-01,2023-03-01,1.3432,1.3594,1.3440975498688312,800000.0,718.0398950650258,12959.999999999995,0.016199999999999992
181,2023-01-02,2023-04-03,1.3572,1.3435,1.3577707458256028,800000.0,456.5966604822336,-10960.000000000036,-0.013700000000000045
182,2023-02-01,2023-05-01,1.3287,1.3542,1.3296857799980215,800000.0,788.623998417215,20400.000000000062,0.025500000000000078
183,2023-03-01,2023-06-01,1.3594,1.345,1.3608115605221518,800000.0,1129.2484177214847,-11519.999999999975,-0.014399999999999968
184,2023-04-03,2023-07-03,1.3435,1.3247,1.3454938164729162,800000.0,1595.053178333039,-15039.999999999942,-0.018799999999999928
185,2023-05-01,2023-08-01,1.3542,1.3279,1.3571804589742322,800000.0,2384.367179385727,-21039.999999999993,-0.02629999999999999
186,2023-06-01,2023-09-01,1.345,1.3594,1.3480251612743763,800000.0,2420.129019501083,11519.999999999975,0.014399999999999968
187,2023-07-03,2023-10-02,1.3247,1.3676,1.326499464051965,800000.0,1439.5712415719686,34319.99999999995,0.04289999999999994
188,2023-08-01,2023-11-01,1.3279,1.3856,1.3296705333333334,800000.0,1416.4266666666592,46159.99999999989,0.05769999999999986
189,2023-09-01,2023-12-01,1.3594,1.3497,1.3609101461439717,800000.0,1208.1169151773706,-7760.000000000034,-0.009700000000000042
190,2023-10-02,2024-01-01,1.3676,1.3236,1.369456913619868,800000.0,1485.530895894449,-35199.999999999854,-0.04399999999999982
191,2023-11-01,2024-02-01,1.3856,1.3384,1.38744732982742,800000.0,1477.8638619359797,-37759.99999999993,-0.04719999999999991
192,2023-12-01,2024-03-01,1.3497,1.3557,1.3511330148148146,800000.0,1146.4118518517807,4800.000000000005,0.006000000000000005
193,2024-01-01,2024-04-01,1.3236,1.3569,1.3252672083775845,800000.0,1333.7667020675071,26639.99999999991,0.033299999999999885
194,2024-02-01,2024-05-01,1.3384,1.3738,1.339986486886946,800000.0,1269.1895095567675,28319.9999999999,0.035399999999999876
195,2024-03-01,2024-06-03,1.3557,1.3627,1.3573405131751166,800000.0,1312.4105400933672,5600.000000000094,0.007000000000000117
196,2024-04-01,2024-07-01,1.3569,1.3735,1.3584077038939233,800000.0,1206.1631151386364,13279.999999999958,0.016599999999999948
197,2024-05-01,2024-08-01,1.3738,1.3873,1.375598123132393,800000.0,1438.4985059145095,10800.000000000055,0.013500000000000068
198,2024-06-03,2024-09-02,1.3627,1.3491,1.3650900521232183,800000.0,1912.0416985746401,-10880.000000000045,-0.013600000000000056
199,2024-07-01,2024-10-01,1.3735,1.349,1.3763173314551207,800000.0,2253.8651640966023,-19599.999999999975,-0.024499999999999966
200,2024-08-01,2024-11-01,1.3873,1.395,1.3906619871905834,800000.0,2689.589752466759,6160.000000000032,0.00770000000000004
201,2024-09-02,2024-12-02,1.3491,1.4044,1.3525045424181696,800000.0,2723.633934535741,44240.0000000001,0.05530000000000013
202,2024-10-01,,1.349,,1.3513038710954908,,,,
203,2024-11-01,,1.395,,1.3988028797303662,,,,
204,2024-12-02,,1.4044,,1.4081945466263448,,,,
